set,x,y,group
Set 01,8.2051,11.1538,1
Set 01,16.1538,17.6923,1
Set 01,28.2051,28.0769,1
Set 01,36.6667,35.7692,1
Set 01,50.5128,47.3077,1
Set 01,61.5385,56.9231,1
Set 01,75.3846,69.2308,1
Set 01,88.4615,81.5385,1
Set 01,97.9487,91.9231,1
Set 01,44.359,38.8462,1
Set 01,85.1282,87.6923,2
Set 01,71.5385,78.4615,2
Set 01,48.2051,60,2
Set 01,29.2308,46.1538,2
Set 01,16.4103,25.7692,2
Set 01,14.1026,7.3077,2
Set 01,32.8205,21.5385,2
Set 01,48.9744,34.2308,2
Set 01,75.641,52.6923,2
Set 01,91.7949,76.5385,2
Set 01,58.4615,44.6154,2
Set 01,15.1282,34.6154,2
Set 01,35.3846,61.5385,2
Set 01,64.1026,88.4615,2
Set 01,48.4615,78.0769,2
Set 01,22.8205,56.5385,2
Set 01,34.359,10.7692,2
Set 01,53.3333,23.4615,2
Set 01,71.2821,33.0769,2
Set 01,30.7692,71.9231,2
Set 01,37.4359,60,2
Set 01,55.3846,33.0769,2
Set 01,9.2308,20.3846,2
Set 01,79.4872,93.8462,2
Set 01,55.8974,76.1538,2
Set 01,41.2821,67.3077,2
Set 01,42.0513,16.1538,2
Set 01,24.8718,11.9231,2
Set 01,86.1538,66.1538,2
Set 01,86.6667,49.2308,2
Set 01,46.9231,6.9231,2
Set 01,6.1538,46.1538,2
Set 01,55.641,95.3846,2
Set 01,43.3333,86.1538,2
Set 01,38.9744,82.3077,2
Set 01,18.7179,44.2308,2
Set 01,20.2564,72.6923,2
Set 01,13.5897,63.0769,2
Set 01,62.5641,16.1538,2
Set 01,65.1282,25.3846,2
Set 01,58.4615,51.9231,2
Set 01,65.8974,61.9231,2
Set 01,65.8974,66.5385,2
Set 01,82.8205,15.3846,2
Set 01,20.5128,88.0769,2
Set 01,7.1795,80,2
Set 01,75.1282,9.6154,2
Set 01,65.8974,31.9231,2
Set 01,54.359,40.3846,2
Set 01,27.9487,91.9231,2
Set 01,81.5385,35.7692,2
Set 01,92.0513,59.2308,2
Set 01,58.7179,7.6923,2
Set 01,37.6923,95.7692,2
Set 01,5.1282,60.7692,2
Set 01,21.5385,48.4615,2
Set 01,24.359,45.3846,2
Set 01,39.4872,50.7692,2
Set 01,44.8718,53.4615,2
Set 01,49.4872,53.4615,2
Set 01,50.5128,68.8462,2
Set 01,58.7179,60.7692,2
Set 01,52.8205,57.6923,2
Set 01,36.9231,74.6154,2
Set 01,32.3077,78.8462,2
Set 01,34.1026,70,2
Set 01,40.2564,63.8462,2
Set 01,54.359,48.4615,2
Set 01,65.8974,50,2
Set 01,74.6154,63.4615,2
Set 01,78.9744,78.4615,2
Set 01,4.6154,33.0769,2
Set 01,67.6923,92.3077,2
Set 01,46.1538,92.3077,2
Set 01,12.0513,93.0769,2
Set 01,89.7436,27.6923,2
Set 01,78.4615,19.2308,2
Set 01,66.6667,7.3077,2
Set 01,89.4872,9.6154,2
Set 01,67.4359,45.7692,2
Set 01,68.7179,64.6154,2
Set 01,62.5641,65.7692,2
Set 01,37.1795,29.2308,2
Set 01,34.6154,30.3846,2
Set 01,22.3077,29.2308,2
Set 01,67.1795,75,2
Set 01,7.4359,89.6154,2
Set 01,14.1026,82.6923,2
Set 01,6.1538,72.6923,2
Set 01,91.0256,42.3077,2
Set 01,70.5128,16.1538,2
Set 01,84.1026,5.3846,2
Set 10,8.2051,11.1538,1
Set 10,16.1538,17.6923,1
Set 10,28.2051,28.0769,1
Set 10,36.6667,35.7692,1
Set 10,50.5128,47.3077,1
Set 10,61.5385,56.9231,1
Set 10,75.3846,69.2308,1
Set 10,88.4615,81.5385,1
Set 10,97.9487,91.9231,1
Set 10,44.359,38.8462,1
Set 10,85.1282,87.6923,2
Set 10,71.5385,78.4615,2
Set 10,48.2051,60,2
Set 10,29.2308,46.1538,2
Set 10,16.4103,25.7692,2
Set 10,14.1026,7.3077,2
Set 10,32.8205,21.5385,2
Set 10,48.9744,34.2308,2
Set 10,75.641,52.6923,2
Set 10,91.7949,76.5385,2
Set 10,58.4615,44.6154,2
Set 10,15.1282,34.6154,2
Set 10,35.3846,61.5385,2
Set 10,64.1026,88.4615,2
Set 10,48.4615,78.0769,2
Set 10,22.8205,56.5385,2
Set 10,34.359,10.7692,2
Set 10,53.3333,23.4615,2
Set 10,71.2821,33.0769,2
Set 10,30.7692,71.9231,2
Set 10,37.4359,60,2
Set 10,55.3846,33.0769,2
Set 10,9.2308,20.3846,2
Set 10,79.4872,93.8462,2
Set 10,55.8974,76.1538,2
Set 10,41.2821,67.3077,2
Set 10,42.0513,16.1538,2
Set 10,24.8718,11.9231,2
Set 10,86.1538,66.1538,2
Set 10,86.6667,49.2308,2
Set 10,46.9231,6.9231,2
Set 10,6.1538,46.1538,2
Set 10,55.641,95.3846,2
Set 10,43.3333,86.1538,2
Set 10,38.9744,82.3077,2
Set 10,18.7179,44.2308,2
Set 10,20.2564,72.6923,2
Set 10,13.5897,63.0769,2
Set 10,62.5641,16.1538,2
Set 10,65.1282,25.3846,2
Set 10,58.4615,51.9231,2
Set 10,65.8974,61.9231,2
Set 10,65.8974,66.5385,2
Set 10,82.8205,15.3846,2
Set 10,20.5128,88.0769,2
Set 10,7.1795,80,2
Set 10,75.1282,9.6154,2
Set 10,65.8974,31.9231,2
Set 10,54.359,40.3846,2
Set 10,27.9487,91.9231,2
Set 10,81.5385,35.7692,2
Set 10,92.0513,59.2308,2
Set 10,58.7179,7.6923,2
Set 10,37.6923,95.7692,2
Set 10,5.1282,60.7692,2
Set 10,21.5385,48.4615,2
Set 10,24.359,45.3846,2
Set 10,39.4872,50.7692,2
Set 10,44.8718,53.4615,2
Set 10,49.4872,53.4615,2
Set 10,50.5128,68.8462,2
Set 10,58.7179,60.7692,2
Set 10,52.8205,57.6923,2
Set 10,36.9231,74.6154,2
Set 10,32.3077,78.8462,2
Set 10,34.1026,70,2
Set 10,40.2564,63.8462,2
Set 10,54.359,48.4615,2
Set 10,65.8974,50,2
Set 10,74.6154,63.4615,2
Set 10,78.9744,78.4615,2
Set 10,4.6154,33.0769,2
Set 10,67.6923,92.3077,2
Set 10,46.1538,92.3077,2
Set 10,12.0513,93.0769,2
Set 10,89.7436,27.6923,2
Set 10,78.4615,19.2308,2
Set 10,66.6667,7.3077,2
Set 10,89.4872,9.6154,2
Set 10,67.4359,45.7692,2
Set 10,68.7179,64.6154,2
Set 10,62.5641,65.7692,2
Set 10,37.1795,29.2308,2
Set 10,34.6154,30.3846,2
Set 20,8.2051,11.1538,1
Set 20,16.1538,17.6923,1
Set 20,28.2051,28.0769,1
Set 20,36.6667,35.7692,1
Set 20,50.5128,47.3077,1
Set 20,61.5385,56.9231,1
Set 20,75.3846,69.2308,1
Set 20,88.4615,81.5385,1
Set 20,97.9487,91.9231,1
Set 20,44.359,38.8462,1
Set 20,85.1282,87.6923,2
Set 20,71.5385,78.4615,2
Set 20,48.2051,60,2
Set 20,29.2308,46.1538,2
Set 20,16.4103,25.7692,2
Set 20,14.1026,7.3077,2
Set 20,32.8205,21.5385,2
Set 20,48.9744,34.2308,2
Set 20,75.641,52.6923,2
Set 20,91.7949,76.5385,2
Set 20,58.4615,44.6154,2
Set 20,15.1282,34.6154,2
Set 20,35.3846,61.5385,2
Set 20,64.1026,88.4615,2
Set 20,48.4615,78.0769,2
Set 20,22.8205,56.5385,2
Set 20,34.359,10.7692,2
Set 20,53.3333,23.4615,2
Set 20,71.2821,33.0769,2
Set 20,30.7692,71.9231,2
Set 20,37.4359,60,2
Set 20,55.3846,33.0769,2
Set 20,9.2308,20.3846,2
Set 20,79.4872,93.8462,2
Set 20,55.8974,76.1538,2
Set 20,41.2821,67.3077,2
Set 20,42.0513,16.1538,2
Set 20,24.8718,11.9231,2
Set 20,86.1538,66.1538,2
Set 20,86.6667,49.2308,2
Set 20,46.9231,6.9231,2
Set 20,6.1538,46.1538,2
Set 20,55.641,95.3846,2
Set 20,43.3333,86.1538,2
Set 20,38.9744,82.3077,2
Set 20,18.7179,44.2308,2
Set 20,20.2564,72.6923,2
Set 20,13.5897,63.0769,2
Set 20,62.5641,16.1538,2
Set 20,65.1282,25.3846,2
Set 20,58.4615,51.9231,2
Set 20,65.8974,61.9231,2
Set 20,65.8974,66.5385,2
Set 20,82.8205,15.3846,2
Set 20,20.5128,88.0769,2
Set 20,7.1795,80,2
Set 20,75.1282,9.6154,2
Set 20,65.8974,31.9231,2
Set 20,54.359,40.3846,2
Set 20,27.9487,91.9231,2
Set 20,81.5385,35.7692,2
Set 20,92.0513,59.2308,2
Set 20,58.7179,7.6923,2
Set 20,37.6923,95.7692,2
Set 20,5.1282,60.7692,2
Set 20,21.5385,48.4615,2
Set 20,24.359,45.3846,2
Set 20,39.4872,50.7692,2
Set 20,44.8718,53.4615,2
Set 20,49.4872,53.4615,2
Set 20,50.5128,68.8462,2
Set 20,58.7179,60.7692,2
Set 20,52.8205,57.6923,2
Set 20,36.9231,74.6154,2
Set 20,32.3077,78.8462,2
Set 20,34.1026,70,2
Set 20,40.2564,63.8462,2
Set 20,54.359,48.4615,2
Set 20,65.8974,50,2
Set 20,74.6154,63.4615,2
Set 20,78.9744,78.4615,2
Set 30,8.2051,11.1538,1
Set 30,16.1538,17.6923,1
Set 30,28.2051,28.0769,1
Set 30,36.6667,35.7692,1
Set 30,50.5128,47.3077,1
Set 30,61.5385,56.9231,1
Set 30,75.3846,69.2308,1
Set 30,88.4615,81.5385,1
Set 30,97.9487,91.9231,1
Set 30,44.359,38.8462,1
Set 30,85.1282,87.6923,2
Set 30,71.5385,78.4615,2
Set 30,48.2051,60,2
Set 30,29.2308,46.1538,2
Set 30,16.4103,25.7692,2
Set 30,14.1026,7.3077,2
Set 30,32.8205,21.5385,2
Set 30,48.9744,34.2308,2
Set 30,75.641,52.6923,2
Set 30,91.7949,76.5385,2
Set 30,58.4615,44.6154,2
Set 30,15.1282,34.6154,2
Set 30,35.3846,61.5385,2
Set 30,64.1026,88.4615,2
Set 30,48.4615,78.0769,2
Set 30,22.8205,56.5385,2
Set 30,34.359,10.7692,2
Set 30,53.3333,23.4615,2
Set 30,71.2821,33.0769,2
Set 30,30.7692,71.9231,2
Set 30,37.4359,60,2
Set 30,55.3846,33.0769,2
Set 30,9.2308,20.3846,2
Set 30,79.4872,93.8462,2
Set 30,55.8974,76.1538,2
Set 30,41.2821,67.3077,2
Set 30,42.0513,16.1538,2
Set 30,24.8718,11.9231,2
Set 30,86.1538,66.1538,2
Set 30,86.6667,49.2308,2
Set 30,46.9231,6.9231,2
Set 30,6.1538,46.1538,2
Set 30,55.641,95.3846,2
Set 30,43.3333,86.1538,2
Set 30,38.9744,82.3077,2
Set 30,18.7179,44.2308,2
Set 30,20.2564,72.6923,2
Set 30,13.5897,63.0769,2
Set 30,62.5641,16.1538,2
Set 30,65.1282,25.3846,2
Set 30,58.4615,51.9231,2
Set 30,65.8974,61.9231,2
Set 30,65.8974,66.5385,2
Set 30,82.8205,15.3846,2
Set 30,20.5128,88.0769,2
Set 30,7.1795,80,2
Set 30,75.1282,9.6154,2
Set 30,65.8974,31.9231,2
Set 30,54.359,40.3846,2
Set 40,8.2051,11.1538,1
Set 40,16.1538,17.6923,1
Set 40,28.2051,28.0769,1
Set 40,36.6667,35.7692,1
Set 40,50.5128,47.3077,1
Set 40,61.5385,56.9231,1
Set 40,75.3846,69.2308,1
Set 40,88.4615,81.5385,1
Set 40,97.9487,91.9231,1
Set 40,44.359,38.8462,1
Set 40,85.1282,87.6923,2
Set 40,71.5385,78.4615,2
Set 40,48.2051,60,2
Set 40,29.2308,46.1538,2
Set 40,16.4103,25.7692,2
Set 40,14.1026,7.3077,2
Set 40,32.8205,21.5385,2
Set 40,48.9744,34.2308,2
Set 40,75.641,52.6923,2
Set 40,91.7949,76.5385,2
Set 40,58.4615,44.6154,2
Set 40,15.1282,34.6154,2
Set 40,35.3846,61.5385,2
Set 40,64.1026,88.4615,2
Set 40,48.4615,78.0769,2
Set 40,22.8205,56.5385,2
Set 40,34.359,10.7692,2
Set 40,53.3333,23.4615,2
Set 40,71.2821,33.0769,2
Set 40,30.7692,71.9231,2
Set 40,37.4359,60,2
Set 40,55.3846,33.0769,2
Set 40,9.2308,20.3846,2
Set 40,79.4872,93.8462,2
Set 40,55.8974,76.1538,2
Set 40,41.2821,67.3077,2
Set 40,42.0513,16.1538,2
Set 40,24.8718,11.9231,2
Set 40,86.1538,66.1538,2
Set 40,86.6667,49.2308,2
Set 40,46.9231,6.9231,2
Set 40,6.1538,46.1538,2
Set 40,55.641,95.3846,2
Set 40,43.3333,86.1538,2
Set 40,38.9744,82.3077,2
Set 40,18.7179,44.2308,2
Set 40,20.2564,72.6923,2
Set 40,13.5897,63.0769,2
Set 40,62.5641,16.1538,2
Set 40,65.1282,25.3846,2
Set 40,58.4615,51.9231,2
Set 40,65.8974,61.9231,2
Set 40,65.8974,66.5385,2
Set 40,82.8205,15.3846,2
Set 40,20.5128,88.0769,2
Set 50,8.2051,11.1538,1
Set 50,16.1538,17.6923,1
Set 50,28.2051,28.0769,1
Set 50,36.6667,35.7692,1
