x1,y1,x2,y2,x3,y3,x4,y4
-21.1538,-22.8846,-23.0769,23.6538,0.641,21.3462,-19.359,0
-20.8974,-17.8846,-22.5641,20.1923,-6.7949,8.2692,-17.8205,3.2692
-19.8718,-13.2692,-20.7692,15.5769,-12.1795,-1.1538,-15.7692,9.2308
-18.9744,-9.0385,-19.7436,12.3077,-17.9487,-11.7308,-11.5385,12.5
-17.1795,-5.3846,-18.5897,8.2692,-21.5385,-18.8462,-8.7179,11.1538
-14.8718,-2.6923,-17.4359,5.1923,-21.0256,-14.6154,-6.6667,6.9231
-12.3077,-1.3462,-15.8974,3.0769,-19.359,-16.7308,-3.5897,1.1538
-10.1282,-0.1923,-13.4615,0,-17.3077,-15,-1.7949,-3.8462
-7.6923,0.5769,-10.7692,-3.0769,-16.1538,-11.1538,1.5385,-9.0385
-5.5128,1.7308,-7.5641,-5.3846,-17.1795,-8.0769,4.6154,-13.2692
-3.5897,2.6923,-5,-7.1154,-19.1026,-8.6538,7.6923,-15.1923
-1.6667,3.2692,-1.5385,-10,-20.1282,-11.7308,12.3077,-16.1538
1.0256,4.2308,3.7179,-12.5,-13.4615,-6.7308,15.8974,-11.9231
3.3333,5,7.5641,-14.2308,-16.1538,-4.4231,17.4359,-7.3077
5.3846,5.3846,13.3333,-16.7308,-18.2051,-4.0385,19.4872,-0.5769
7.8205,5.9615,17.1795,-17.3077,-15.1282,-8.4615,,
10.5128,6.5385,20.8974,-17.6923,-12.4359,-9.4231,,
12.0513,10.1923,22.8205,-17.1154,-11.9231,-2.5,,
13.9744,14.6154,18.8462,-16.7308,-13.9744,-1.5385,,
15.8974,18.4615,16.7949,-18.6538,-15.3846,-2.1154,,
16.9231,23.4615,10.641,-17.3077,-13.0769,2.6923,,
9.359,6.7308,11.7949,-14.8077,-13.8462,-2.6923,,
,,9.2308,-11.3462,-11.0256,0.9615,,
,,14.4872,-12.8846,-9.6154,3.0769,,
,,7.8205,-16.3462,-10.8974,5.7692,,
,,3.2051,-16.7308,-9.7436,10,,
,,0.2564,-14.4231,-8.4615,10,,
,,0.3846,-10.3846,-8.5897,7.1154,,
,,-3.0769,-12.5,-5.1282,12.3077,,
,,-3.2051,-8.2692,-6.9231,12.5,,
,,-4.8718,-4.6154,-5.3846,15.3846,,
,,-7.4359,-4.0385,-2.6923,17.1154,,
,,-8.3333,-6.7308,-1.6667,19.4231,,
,,-10.8974,-7.5,-2.6923,20.7692,,
,,-8.5897,-10.3846,-3.5897,18.6538,,
,,-5.641,-12.1154,-1.4103,21.9231,,
,,-3.8462,-13.4615,-8.3333,13.0769,,
,,0,-15.7692,-14.7436,3.2692,,
,,2.4359,-13.8462,-11.4103,8.2692,,
,,4.8718,-14.4231,-16.5385,0,,
,,-14.2308,-1.9231,-14.8718,-12.1154,,
,,-14.4872,4.4231,-5.3846,7.8846,,
,,-16.7949,8.0769,-7.0513,4.0385,,
,,-20.641,12.3077,-3.3333,13.8462,,
,,-20.3846,20.7692,-6.0256,18.0769,,
,,-21.9231,18.4615,17.1795,10,,
,,-22.3077,23.0769,16.1538,8.0769,,
,,-18.4615,11.3462,17.6923,7.8846,,
,,-12.5641,-4.0385,16.2821,6.1538,,
,,-11.5385,-5.1923,17.9487,5.7692,,
,,-8.9744,-7.6923,-0.3846,19.2308,,
,,10,-13.8462,0.2564,24.0385,,
,,12.1795,-12.3077,-10.7692,12.6923,,
,,15.641,-14.8077,-12.9487,6.5385,,
,,17.4359,-12.5,-11.7949,3.6538,,
,,17.8205,-14.4231,,,,
,,19.7436,-14.4231,,,,
,,22.1795,-12.5,,,,
,,20.5128,-11.1538,,,,
,,14.7436,-10.3846,,,,
,,16.9231,-10,,,,
,,18.5897,-11.3462,,,,
,,18.9744,-18.4615,,,,
,,14.7436,-17.5,,,,
,,12.0513,-19.6154,,,,
,,12.9487,-14.6154,,,,
,,8.8462,-17.3077,,,,
,,6.4103,-19.4231,,,,
,,21.6667,-18.6538,,,,
,,21.6667,-15.3846,,,,
,,-4.8718,-10.3846,,,,
,,-5.5128,-8.8462,,,,
,,-7.4359,-9.4231,,,,
,,-10,-5.1923,,,,
,,-9.7436,-2.8846,,,,
,,-8.5897,-3.2692,,,,
,,-14.4872,1.5385,,,,
,,-15.5128,6.7308,,,,
,,-18.9744,16.9231,,,,
,,-17.1795,14.0385,,,,
,,-21.6667,9.6154,,,,
,,-22.6923,16.1538,,,,
,,-21.0256,18.4615,,,,
,,-20.2564,7.1154,,,,
,,-17.0513,10.3846,,,,
,,-19.359,3.8462,,,,
,,-18.3333,2.8846,,,,
,,-16.0256,5.3846,,,,
,,-16.6667,0.5769,,,,
,,-12.9487,2.5,,,,
