crab,species,force,height
1,Hemigraspus nudus,4,8
2,Lophopanopeus bellus,15.1,7.9
3,Cancer productus,5,6.7
4,Lophopanopeus bellus,2.9,6.6
5,Hemigraspus nudus,3.2,5
6,Hemigraspus nudus,9.5,7.9
7,Cancer productus,22.5,9.4
8,Hemigraspus nudus,7.4,8.3
9,Cancer productus,14.6,11.2
10,Lophopanopeus bellus,8.7,8.6
11,Cancer productus,17.7,9.4
12,Lophopanopeus bellus,2.1,5.1
13,Hemigraspus nudus,4,12.1
14,Lophopanopeus bellus,29.4,11
15,Cancer productus,19.6,13.1
16,Lophopanopeus bellus,20.6,10.2
17,Lophopanopeus bellus,14.6,8.1
18,Lophopanopeus bellus,19.6,10.5
19,Hemigraspus nudus,2.4,8.8
20,Cancer productus,16.8,11.4
21,Hemigraspus nudus,2,6.4
22,Hemigraspus nudus,3,7
23,Cancer productus,7.8,7.1
24,Cancer productus,24.4,10.2
25,Hemigraspus nudus,5.2,12.2
26,Hemigraspus nudus,2.9,7.9
27,Lophopanopeus bellus,27.4,8.2
28,Hemigraspus nudus,2,6.5
29,Cancer productus,19.8,10.7
30,Hemigraspus nudus,6.4,6
31,Cancer productus,23.6,11.6
32,Lophopanopeus bellus,6.9,7.2
33,Hemigraspus nudus,4.9,6.6
34,Cancer productus,26,12.5
35,Lophopanopeus bellus,8.7,5.9
36,Hemigraspus nudus,3.4,8.2
37,Lophopanopeus bellus,17.6,9.6
38,Cancer productus,29.4,11.8
